description,category,source
Estimado equipo de atención al cliente: Quiero cambiar el nombre del titular asociado con la cuenta Agradezco una respuesta lo antes posible. Referencia OTHR-074.,OTHR,synthetic
Buenas tardes. Quiero cancelar definitivamente el servicio porque ya no lo necesito Necesito resolverlo durante el día de hoy. Referencia CNCL-057.,CNCL,synthetic
"Hola, por favor ayúdenme. Mi factura tiene un cobro adicional que no reconozco este mes Necesito resolverlo durante el día de hoy. Referencia BILL-006.",BILL,synthetic
Estimado equipo de atención al cliente: No estoy conforme con el servicio y quiero finalizar el contrato Agradezco una respuesta lo antes posible. Referencia CNCL-024.,CNCL,synthetic
Estimado equipo de atención al cliente: Ya pagué la mensualidad pero todavía aparece como una deuda pendiente Agradezco una respuesta lo antes posible. Referencia BILL-007.,BILL,synthetic
Estimado equipo de atención al cliente: Solicito la baja inmediata del internet y de la televisión contratada El problema continúa hasta este momento. Referencia CNCL-040.,CNCL,synthetic
Estimado equipo de atención al cliente: Solicito la baja inmediata del internet y de la televisión contratada Agradezco una respuesta lo antes posible. Referencia CNCL-052.,CNCL,synthetic
Buenas tardes. No puedo navegar aunque ya reinicié el router varias veces El problema continúa hasta este momento. Referencia TECH-021.,TECH,synthetic
Buenas tardes. Mi factura tiene un cobro adicional que no reconozco este mes Agradezco una respuesta lo antes posible. Referencia BILL-055.,BILL,synthetic
Por favor revisen mi solicitud. Me cobraron dos veces el mismo servicio en la tarjeta de crédito Necesito resolverlo durante el día de hoy. Referencia BILL-023.,BILL,synthetic
Estimado equipo de atención al cliente: Quiero registrar un nuevo número telefónico para recibir notificaciones ¿Podrían indicarme qué debo hacer? Referencia OTHR-060.,OTHR,synthetic
"Hola, por favor ayúdenme. Deseo agregar televisión y telefonía a mi paquete de servicios ¿Podrían indicarme qué debo hacer? Referencia PLAN-040.",PLAN,synthetic
"Buenos días, necesito asistencia. Necesito corregir un dato personal que aparece mal escrito en el sistema Quedo atento a su pronta respuesta. Referencia OTHR-052.",OTHR,synthetic
"Buenos días, necesito asistencia. El servicio de televisión muestra la pantalla congelada y sin audio ¿Podrían indicarme qué debo hacer? Referencia TECH-028.",TECH,synthetic
"Buenos días, necesito asistencia. Deseo renovar mi plan y conocer las promociones vigentes para clientes ¿Podrían indicarme qué debo hacer? Referencia PLAN-063.",PLAN,synthetic
"Buenos días, necesito asistencia. La señal de wifi se desconecta constantemente en toda la casa Quedo atento a su pronta respuesta. Referencia TECH-023.",TECH,synthetic
"Buenos días, necesito asistencia. Necesito actualizar el correo electrónico registrado en mi perfil El problema continúa hasta este momento. Referencia OTHR-067.",OTHR,synthetic
Estimado equipo de atención al cliente: Solicito terminar mi contrato y conocer el proceso de cancelación ¿Podrían indicarme qué debo hacer? Referencia CNCL-026.,CNCL,synthetic
"Hola, por favor ayúdenme. Quiero reducir la velocidad para contratar un plan más económico Agradezco una respuesta lo antes posible. Referencia PLAN-066.",PLAN,synthetic
"Buenos días, necesito asistencia. Me voy a mudar y deseo dar de baja todos los servicios contratados Agradezco una respuesta lo antes posible. Referencia CNCL-064.",CNCL,synthetic
"Hola, por favor ayúdenme. Solicito la baja inmediata del internet y de la televisión contratada El problema continúa hasta este momento. Referencia CNCL-042.",CNCL,synthetic
"Hola, por favor ayúdenme. Quiero cancelar definitivamente el servicio porque ya no lo necesito Necesito resolverlo durante el día de hoy. Referencia CNCL-006.",CNCL,synthetic
Por favor revisen mi solicitud. Mi conexión a internet está demasiado lenta y no puedo trabajar Necesito resolverlo durante el día de hoy. Referencia TECH-006.,TECH,synthetic
Por favor revisen mi solicitud. Quiero cancelar definitivamente el servicio porque ya no lo necesito Necesito resolverlo durante el día de hoy. Referencia CNCL-049.,CNCL,synthetic
"Buenos días, necesito asistencia. La velocidad contratada no coincide con la que recibo actualmente ¿Podrían indicarme qué debo hacer? Referencia TECH-030.",TECH,synthetic
Buenas tardes. Necesito corregir un dato personal que aparece mal escrito en el sistema El problema continúa hasta este momento. Referencia OTHR-002.,OTHR,synthetic
Por favor revisen mi solicitud. Ya pagué la mensualidad pero todavía aparece como una deuda pendiente El problema continúa hasta este momento. Referencia BILL-027.,BILL,synthetic
Por favor revisen mi solicitud. Deseo renovar mi plan y conocer las promociones vigentes para clientes Agradezco una respuesta lo antes posible. Referencia PLAN-004.,PLAN,synthetic
"Hola, por favor ayúdenme. Necesito solicitar una copia del contrato firmado cuando instalé el servicio Necesito resolverlo durante el día de hoy. Referencia OTHR-051.",OTHR,synthetic
Por favor revisen mi solicitud. Mi factura tiene un cobro adicional que no reconozco este mes Necesito resolverlo durante el día de hoy. Referencia BILL-024.,BILL,synthetic
Estimado equipo de atención al cliente: Quiero actualizar el método de pago asociado con mi cuenta ¿Podrían indicarme qué debo hacer? Referencia BILL-067.,BILL,synthetic
Estimado equipo de atención al cliente: Me cobraron dos veces el mismo servicio en la tarjeta de crédito Agradezco una respuesta lo antes posible. Referencia BILL-030.,BILL,synthetic
Por favor revisen mi solicitud. Necesito corregir un dato personal que aparece mal escrito en el sistema Necesito resolverlo durante el día de hoy. Referencia OTHR-011.,OTHR,synthetic
Por favor revisen mi solicitud. Quiero cancelar definitivamente el servicio porque ya no lo necesito ¿Podrían indicarme qué debo hacer? Referencia CNCL-039.,CNCL,synthetic
Buenas tardes. La señal de wifi se desconecta constantemente en toda la casa El problema continúa hasta este momento. Referencia TECH-020.,TECH,synthetic
"Buenos días, necesito asistencia. Mi factura tiene un cobro adicional que no reconozco este mes El problema continúa hasta este momento. Referencia BILL-038.",BILL,synthetic
"Hola, por favor ayúdenme. No puedo navegar aunque ya reinicié el router varias veces ¿Podrían indicarme qué debo hacer? Referencia TECH-005.",TECH,synthetic
"Hola, por favor ayúdenme. Mi factura tiene un cobro adicional que no reconozco este mes El problema continúa hasta este momento. Referencia BILL-032.",BILL,synthetic
Buenas tardes. El módem tiene una luz roja y desde ayer no tengo conexión Agradezco una respuesta lo antes posible. Referencia TECH-011.,TECH,synthetic
Estimado equipo de atención al cliente: Quiero cancelar definitivamente el servicio porque ya no lo necesito ¿Podrían indicarme qué debo hacer? Referencia CNCL-078.,CNCL,synthetic
"Buenos días, necesito asistencia. No estoy conforme con el servicio y quiero finalizar el contrato El problema continúa hasta este momento. Referencia CNCL-025.",CNCL,synthetic
Buenas tardes. Ya pagué la mensualidad pero todavía aparece como una deuda pendiente Quedo atento a su pronta respuesta. Referencia BILL-022.,BILL,synthetic
Estimado equipo de atención al cliente: La velocidad contratada no coincide con la que recibo actualmente Quedo atento a su pronta respuesta. Referencia TECH-019.,TECH,synthetic
"Buenos días, necesito asistencia. Mi factura tiene un cobro adicional que no reconozco este mes Necesito resolverlo durante el día de hoy. Referencia BILL-011.",BILL,synthetic
Estimado equipo de atención al cliente: Quisiera retirar la telefonía y mantener solamente el servicio de internet ¿Podrían indicarme qué debo hacer? Referencia PLAN-047.,PLAN,synthetic
Buenas tardes. Deseo renovar mi plan y conocer las promociones vigentes para clientes Agradezco una respuesta lo antes posible. Referencia PLAN-012.,PLAN,synthetic
Estimado equipo de atención al cliente: Necesito migrar mi contrato al nuevo plan de fibra óptica Quedo atento a su pronta respuesta. Referencia PLAN-054.,PLAN,synthetic
Buenas tardes. Me cobraron dos veces el mismo servicio en la tarjeta de crédito Quedo atento a su pronta respuesta. Referencia BILL-064.,BILL,synthetic
"Buenos días, necesito asistencia. Solicito una copia de la factura con el detalle de todos los cargos Agradezco una respuesta lo antes posible. Referencia BILL-049.",BILL,synthetic
Buenas tardes. Necesito cancelar la cuenta antes del próximo ciclo de facturación Quedo atento a su pronta respuesta. Referencia CNCL-027.,CNCL,synthetic
"Hola, por favor ayúdenme. Deseo conocer la dirección de la sucursal más cercana a mi domicilio Agradezco una respuesta lo antes posible. Referencia OTHR-008.",OTHR,synthetic
Estimado equipo de atención al cliente: ¿Cuál es el horario de atención de la oficina ubicada en el centro? ¿Podrían indicarme qué debo hacer? Referencia OTHR-010.,OTHR,synthetic
Por favor revisen mi solicitud. Necesito una explicación del valor total facturado en mi cuenta Agradezco una respuesta lo antes posible. Referencia BILL-018.,BILL,synthetic
Buenas tardes. Necesito actualizar el correo electrónico registrado en mi perfil ¿Podrían indicarme qué debo hacer? Referencia OTHR-072.,OTHR,synthetic
Buenas tardes. La señal de wifi se desconecta constantemente en toda la casa Necesito resolverlo durante el día de hoy. Referencia TECH-045.,TECH,synthetic
Buenas tardes. Me voy a mudar y deseo dar de baja todos los servicios contratados Agradezco una respuesta lo antes posible. Referencia CNCL-029.,CNCL,synthetic
"Buenos días, necesito asistencia. Necesito solicitar una copia del contrato firmado cuando instalé el servicio ¿Podrían indicarme qué debo hacer? Referencia OTHR-034.",OTHR,synthetic
Estimado equipo de atención al cliente: El descuento ofrecido no fue aplicado en mi última factura El problema continúa hasta este momento. Referencia BILL-048.,BILL,synthetic
"Buenos días, necesito asistencia. No puedo navegar aunque ya reinicié el router varias veces ¿Podrían indicarme qué debo hacer? Referencia TECH-002.",TECH,synthetic
Por favor revisen mi solicitud. Quiero registrar un nuevo número telefónico para recibir notificaciones ¿Podrían indicarme qué debo hacer? Referencia OTHR-036.,OTHR,synthetic
"Buenos días, necesito asistencia. Me cobraron dos veces el mismo servicio en la tarjeta de crédito ¿Podrían indicarme qué debo hacer? Referencia BILL-004.",BILL,synthetic
Estimado equipo de atención al cliente: No puedo navegar aunque ya reinicié el router varias veces Agradezco una respuesta lo antes posible. Referencia TECH-075.,TECH,synthetic
"Buenos días, necesito asistencia. El router no enciende después del último corte de energía ¿Podrían indicarme qué debo hacer? Referencia TECH-066.",TECH,synthetic
Buenas tardes. Necesito solicitar una copia del contrato firmado cuando instalé el servicio ¿Podrían indicarme qué debo hacer? Referencia OTHR-063.,OTHR,synthetic
"Hola, por favor ayúdenme. Quiero cambiar el nombre del titular asociado con la cuenta Quedo atento a su pronta respuesta. Referencia OTHR-006.",OTHR,synthetic
"Hola, por favor ayúdenme. Quiero cambiar mi plan actual por uno con mayor velocidad de internet El problema continúa hasta este momento. Referencia PLAN-037.",PLAN,synthetic
Por favor revisen mi solicitud. No puedo navegar aunque ya reinicié el router varias veces El problema continúa hasta este momento. Referencia TECH-055.,TECH,synthetic
Estimado equipo de atención al cliente: Necesito actualizar el correo electrónico registrado en mi perfil Necesito resolverlo durante el día de hoy. Referencia OTHR-031.,OTHR,synthetic
"Buenos días, necesito asistencia. La señal de wifi se desconecta constantemente en toda la casa Quedo atento a su pronta respuesta. Referencia TECH-078.",TECH,synthetic
Por favor revisen mi solicitud. La señal de wifi se desconecta constantemente en toda la casa El problema continúa hasta este momento. Referencia TECH-053.,TECH,synthetic
Buenas tardes. Necesito corregir un dato personal que aparece mal escrito en el sistema El problema continúa hasta este momento. Referencia OTHR-020.,OTHR,synthetic
Estimado equipo de atención al cliente: Necesito soporte porque el internet se cae cada pocos minutos Quedo atento a su pronta respuesta. Referencia TECH-029.,TECH,synthetic
Buenas tardes. Necesito migrar mi contrato al nuevo plan de fibra óptica ¿Podrían indicarme qué debo hacer? Referencia PLAN-043.,PLAN,synthetic
"Buenos días, necesito asistencia. Me cobraron dos veces el mismo servicio en la tarjeta de crédito ¿Podrían indicarme qué debo hacer? Referencia BILL-033.",BILL,synthetic
Estimado equipo de atención al cliente: La velocidad contratada no coincide con la que recibo actualmente Necesito resolverlo durante el día de hoy. Referencia TECH-024.,TECH,synthetic
"Hola, por favor ayúdenme. Solicito una copia de la factura con el detalle de todos los cargos Quedo atento a su pronta respuesta. Referencia BILL-078.",BILL,synthetic
"Hola, por favor ayúdenme. Solicito terminar mi contrato y conocer el proceso de cancelación Quedo atento a su pronta respuesta. Referencia CNCL-010.",CNCL,synthetic
Por favor revisen mi solicitud. Ya pagué la mensualidad pero todavía aparece como una deuda pendiente ¿Podrían indicarme qué debo hacer? Referencia BILL-066.,BILL,synthetic
Por favor revisen mi solicitud. El router no enciende después del último corte de energía Agradezco una respuesta lo antes posible. Referencia TECH-057.,TECH,synthetic
Buenas tardes. Necesito corregir un dato personal que aparece mal escrito en el sistema Agradezco una respuesta lo antes posible. Referencia OTHR-048.,OTHR,synthetic
"Buenos días, necesito asistencia. Necesito conocer los planes disponibles y sus beneficios mensuales Quedo atento a su pronta respuesta. Referencia PLAN-017.",PLAN,synthetic
"Buenos días, necesito asistencia. Deseo retirar todos los equipos y cerrar mi cuenta de cliente Agradezco una respuesta lo antes posible. Referencia CNCL-076.",CNCL,synthetic
Estimado equipo de atención al cliente: Solicito la baja inmediata del internet y de la televisión contratada Necesito resolverlo durante el día de hoy. Referencia CNCL-023.,CNCL,synthetic
"Buenos días, necesito asistencia. Deseo retirar todos los equipos y cerrar mi cuenta de cliente Necesito resolverlo durante el día de hoy. Referencia CNCL-051.",CNCL,synthetic
Buenas tardes. No estoy conforme con el servicio y quiero finalizar el contrato Agradezco una respuesta lo antes posible. Referencia CNCL-036.,CNCL,synthetic
Estimado equipo de atención al cliente: Necesito actualizar el correo electrónico registrado en mi perfil El problema continúa hasta este momento. Referencia OTHR-041.,OTHR,synthetic
"Hola, por favor ayúdenme. Quiero cancelar definitivamente el servicio porque ya no lo necesito Quedo atento a su pronta respuesta. Referencia CNCL-035.",CNCL,synthetic
"Hola, por favor ayúdenme. No estoy conforme con el servicio y quiero finalizar el contrato Quedo atento a su pronta respuesta. Referencia CNCL-009.",CNCL,synthetic
Estimado equipo de atención al cliente: Solicito activar un paquete adicional de canales deportivos El problema continúa hasta este momento. Referencia PLAN-058.,PLAN,synthetic
"Buenos días, necesito asistencia. Quisiera retirar la telefonía y mantener solamente el servicio de internet Quedo atento a su pronta respuesta. Referencia PLAN-067.",PLAN,synthetic
Buenas tardes. Quiero anular la renovación y cancelar el plan al finalizar este mes El problema continúa hasta este momento. Referencia CNCL-065.,CNCL,synthetic
Por favor revisen mi solicitud. Quiero cambiar el nombre del titular asociado con la cuenta Quedo atento a su pronta respuesta. Referencia OTHR-076.,OTHR,synthetic
"Buenos días, necesito asistencia. Mi conexión a internet está demasiado lenta y no puedo trabajar El problema continúa hasta este momento. Referencia TECH-026.",TECH,synthetic
Estimado equipo de atención al cliente: Quisiera dejar un comentario sobre la atención recibida por el asesor ¿Podrían indicarme qué debo hacer? Referencia OTHR-057.,OTHR,synthetic
Estimado equipo de atención al cliente: Necesito actualizar el correo electrónico registrado en mi perfil Necesito resolverlo durante el día de hoy. Referencia OTHR-003.,OTHR,synthetic
"Buenos días, necesito asistencia. ¿Cuál es el horario de atención de la oficina ubicada en el centro? ¿Podrían indicarme qué debo hacer? Referencia OTHR-012.",OTHR,synthetic
Por favor revisen mi solicitud. Deseo conocer la dirección de la sucursal más cercana a mi domicilio ¿Podrían indicarme qué debo hacer? Referencia OTHR-028.,OTHR,synthetic
Por favor revisen mi solicitud. Necesito solicitar una copia del contrato firmado cuando instalé el servicio Agradezco una respuesta lo antes posible. Referencia OTHR-064.,OTHR,synthetic
Buenas tardes. Deseo conocer la dirección de la sucursal más cercana a mi domicilio El problema continúa hasta este momento. Referencia OTHR-009.,OTHR,synthetic
Por favor revisen mi solicitud. Quiero cambiar mi plan actual por uno con mayor velocidad de internet Agradezco una respuesta lo antes posible. Referencia PLAN-030.,PLAN,synthetic
Estimado equipo de atención al cliente: Mi factura tiene un cobro adicional que no reconozco este mes Quedo atento a su pronta respuesta. Referencia BILL-001.,BILL,synthetic
"Hola, por favor ayúdenme. Deseo agregar televisión y telefonía a mi paquete de servicios ¿Podrían indicarme qué debo hacer? Referencia PLAN-015.",PLAN,synthetic
Buenas tardes. Quiero registrar un nuevo número telefónico para recibir notificaciones Necesito resolverlo durante el día de hoy. Referencia OTHR-043.,OTHR,synthetic
"Buenos días, necesito asistencia. Quisiera retirar la telefonía y mantener solamente el servicio de internet ¿Podrían indicarme qué debo hacer? Referencia PLAN-055.",PLAN,synthetic
Estimado equipo de atención al cliente: Necesito migrar mi contrato al nuevo plan de fibra óptica ¿Podrían indicarme qué debo hacer? Referencia PLAN-033.,PLAN,synthetic
"Buenos días, necesito asistencia. Necesito actualizar el correo electrónico registrado en mi perfil Agradezco una respuesta lo antes posible. Referencia OTHR-049.",OTHR,synthetic
"Hola, por favor ayúdenme. Quisiera dejar un comentario sobre la atención recibida por el asesor Agradezco una respuesta lo antes posible. Referencia OTHR-061.",OTHR,synthetic
"Buenos días, necesito asistencia. Quiero registrar un nuevo número telefónico para recibir notificaciones ¿Podrían indicarme qué debo hacer? Referencia OTHR-029.",OTHR,synthetic
Buenas tardes. No puedo navegar aunque ya reinicié el router varias veces Agradezco una respuesta lo antes posible. Referencia TECH-016.,TECH,synthetic
"Buenos días, necesito asistencia. El router no enciende después del último corte de energía ¿Podrían indicarme qué debo hacer? Referencia TECH-073.",TECH,synthetic
Estimado equipo de atención al cliente: El módem tiene una luz roja y desde ayer no tengo conexión Quedo atento a su pronta respuesta. Referencia TECH-036.,TECH,synthetic
"Hola, por favor ayúdenme. Solicito activar un paquete adicional de canales deportivos Necesito resolverlo durante el día de hoy. Referencia PLAN-046.",PLAN,synthetic
Estimado equipo de atención al cliente: Quiero anular la renovación y cancelar el plan al finalizar este mes Agradezco una respuesta lo antes posible. Referencia CNCL-050.,CNCL,synthetic
Estimado equipo de atención al cliente: La señal de wifi se desconecta constantemente en toda la casa El problema continúa hasta este momento. Referencia TECH-074.,TECH,synthetic
"Buenos días, necesito asistencia. Necesito actualizar el correo electrónico registrado en mi perfil Agradezco una respuesta lo antes posible. Referencia OTHR-062.",OTHR,synthetic
Estimado equipo de atención al cliente: Mi conexión a internet está demasiado lenta y no puedo trabajar Agradezco una respuesta lo antes posible. Referencia TECH-004.,TECH,synthetic
Estimado equipo de atención al cliente: Me voy a mudar y deseo dar de baja todos los servicios contratados Agradezco una respuesta lo antes posible. Referencia CNCL-079.,CNCL,synthetic
Estimado equipo de atención al cliente: Deseo conocer la dirección de la sucursal más cercana a mi domicilio Agradezco una respuesta lo antes posible. Referencia OTHR-044.,OTHR,synthetic
Por favor revisen mi solicitud. Necesito una explicación del valor total facturado en mi cuenta Quedo atento a su pronta respuesta. Referencia BILL-079.,BILL,synthetic
"Hola, por favor ayúdenme. Quiero actualizar el método de pago asociado con mi cuenta Agradezco una respuesta lo antes posible. Referencia BILL-060.",BILL,synthetic
Por favor revisen mi solicitud. El descuento ofrecido no fue aplicado en mi última factura El problema continúa hasta este momento. Referencia BILL-013.,BILL,synthetic
"Hola, por favor ayúdenme. La velocidad contratada no coincide con la que recibo actualmente Necesito resolverlo durante el día de hoy. Referencia TECH-015.",TECH,synthetic
Buenas tardes. Quiero actualizar el método de pago asociado con mi cuenta Necesito resolverlo durante el día de hoy. Referencia BILL-057.,BILL,synthetic
Estimado equipo de atención al cliente: El módem tiene una luz roja y desde ayer no tengo conexión Quedo atento a su pronta respuesta. Referencia TECH-014.,TECH,synthetic
Estimado equipo de atención al cliente: Quiero cancelar definitivamente el servicio porque ya no lo necesito Quedo atento a su pronta respuesta. Referencia CNCL-046.,CNCL,synthetic
Por favor revisen mi solicitud. ¿Cuál es el horario de atención de la oficina ubicada en el centro? Agradezco una respuesta lo antes posible. Referencia OTHR-018.,OTHR,synthetic
Estimado equipo de atención al cliente: Quiero reducir la velocidad para contratar un plan más económico Quedo atento a su pronta respuesta. Referencia PLAN-060.,PLAN,synthetic
"Buenos días, necesito asistencia. Mi factura tiene un cobro adicional que no reconozco este mes El problema continúa hasta este momento. Referencia BILL-036.",BILL,synthetic
"Buenos días, necesito asistencia. No estoy conforme con el servicio y quiero finalizar el contrato Quedo atento a su pronta respuesta. Referencia CNCL-054.",CNCL,synthetic
Por favor revisen mi solicitud. El descuento ofrecido no fue aplicado en mi última factura Agradezco una respuesta lo antes posible. Referencia BILL-063.,BILL,synthetic
Buenas tardes. Necesito corregir un dato personal que aparece mal escrito en el sistema Necesito resolverlo durante el día de hoy. Referencia OTHR-053.,OTHR,synthetic
Por favor revisen mi solicitud. Quiero cambiar mi plan actual por uno con mayor velocidad de internet Quedo atento a su pronta respuesta. Referencia PLAN-029.,PLAN,synthetic
Estimado equipo de atención al cliente: Quisiera dejar un comentario sobre la atención recibida por el asesor Agradezco una respuesta lo antes posible. Referencia OTHR-022.,OTHR,synthetic
"Buenos días, necesito asistencia. Quisiera retirar la telefonía y mantener solamente el servicio de internet Quedo atento a su pronta respuesta. Referencia PLAN-020.",PLAN,synthetic
Estimado equipo de atención al cliente: El servicio de televisión muestra la pantalla congelada y sin audio Quedo atento a su pronta respuesta. Referencia TECH-056.,TECH,synthetic
"Hola, por favor ayúdenme. Necesito una explicación del valor total facturado en mi cuenta Agradezco una respuesta lo antes posible. Referencia BILL-035.",BILL,synthetic
Buenas tardes. Solicito la baja inmediata del internet y de la televisión contratada Quedo atento a su pronta respuesta. Referencia CNCL-007.,CNCL,synthetic
Estimado equipo de atención al cliente: Mi conexión a internet está demasiado lenta y no puedo trabajar ¿Podrían indicarme qué debo hacer? Referencia TECH-080.,TECH,synthetic
"Buenos días, necesito asistencia. Me cobraron dos veces el mismo servicio en la tarjeta de crédito Necesito resolverlo durante el día de hoy. Referencia BILL-029.",BILL,synthetic
Buenas tardes. Solicito terminar mi contrato y conocer el proceso de cancelación ¿Podrían indicarme qué debo hacer? Referencia CNCL-020.,CNCL,synthetic
Por favor revisen mi solicitud. Necesito cancelar la cuenta antes del próximo ciclo de facturación ¿Podrían indicarme qué debo hacer? Referencia CNCL-056.,CNCL,synthetic
Por favor revisen mi solicitud. Necesito soporte porque el internet se cae cada pocos minutos ¿Podrían indicarme qué debo hacer? Referencia TECH-054.,TECH,synthetic
Por favor revisen mi solicitud. Quiero cambiar mi plan actual por uno con mayor velocidad de internet Necesito resolverlo durante el día de hoy. Referencia PLAN-021.,PLAN,synthetic
Estimado equipo de atención al cliente: Solicito una copia de la factura con el detalle de todos los cargos Quedo atento a su pronta respuesta. Referencia BILL-080.,BILL,synthetic
Por favor revisen mi solicitud. Solicito la baja inmediata del internet y de la televisión contratada ¿Podrían indicarme qué debo hacer? Referencia CNCL-068.,CNCL,synthetic
Por favor revisen mi solicitud. Me cobraron dos veces el mismo servicio en la tarjeta de crédito Quedo atento a su pronta respuesta. Referencia BILL-068.,BILL,synthetic
Estimado equipo de atención al cliente: La velocidad contratada no coincide con la que recibo actualmente Agradezco una respuesta lo antes posible. Referencia TECH-027.,TECH,synthetic
Por favor revisen mi solicitud. Deseo renovar mi plan y conocer las promociones vigentes para clientes Quedo atento a su pronta respuesta. Referencia PLAN-057.,PLAN,synthetic
Estimado equipo de atención al cliente: Deseo renovar mi plan y conocer las promociones vigentes para clientes Agradezco una respuesta lo antes posible. Referencia PLAN-022.,PLAN,synthetic
Estimado equipo de atención al cliente: Necesito migrar mi contrato al nuevo plan de fibra óptica Agradezco una respuesta lo antes posible. Referencia PLAN-051.,PLAN,synthetic
"Hola, por favor ayúdenme. El servicio de televisión muestra la pantalla congelada y sin audio Agradezco una respuesta lo antes posible. Referencia TECH-063.",TECH,synthetic
Estimado equipo de atención al cliente: Deseo agregar televisión y telefonía a mi paquete de servicios Quedo atento a su pronta respuesta. Referencia PLAN-009.,PLAN,synthetic
Estimado equipo de atención al cliente: Deseo conocer la dirección de la sucursal más cercana a mi domicilio Necesito resolverlo durante el día de hoy. Referencia OTHR-019.,OTHR,synthetic
Buenas tardes. Solicito terminar mi contrato y conocer el proceso de cancelación Quedo atento a su pronta respuesta. Referencia CNCL-048.,CNCL,synthetic
Por favor revisen mi solicitud. No estoy conforme con el servicio y quiero finalizar el contrato Quedo atento a su pronta respuesta. Referencia CNCL-061.,CNCL,synthetic
"Buenos días, necesito asistencia. La velocidad contratada no coincide con la que recibo actualmente Necesito resolverlo durante el día de hoy. Referencia TECH-031.",TECH,synthetic
Estimado equipo de atención al cliente: Solicito la baja inmediata del internet y de la televisión contratada El problema continúa hasta este momento. Referencia CNCL-045.,CNCL,synthetic
Estimado equipo de atención al cliente: Necesito soporte porque el internet se cae cada pocos minutos ¿Podrían indicarme qué debo hacer? Referencia TECH-067.,TECH,synthetic
Estimado equipo de atención al cliente: Deseo agregar televisión y telefonía a mi paquete de servicios Quedo atento a su pronta respuesta. Referencia PLAN-031.,PLAN,synthetic
Por favor revisen mi solicitud. El módem tiene una luz roja y desde ayer no tengo conexión Agradezco una respuesta lo antes posible. Referencia TECH-050.,TECH,synthetic
"Hola, por favor ayúdenme. Deseo renovar mi plan y conocer las promociones vigentes para clientes El problema continúa hasta este momento. Referencia PLAN-062.",PLAN,synthetic
"Hola, por favor ayúdenme. El servicio de televisión muestra la pantalla congelada y sin audio El problema continúa hasta este momento. Referencia TECH-048.",TECH,synthetic
Por favor revisen mi solicitud. No puedo navegar aunque ya reinicié el router varias veces ¿Podrían indicarme qué debo hacer? Referencia TECH-044.,TECH,synthetic
Buenas tardes. El router no enciende después del último corte de energía Agradezco una respuesta lo antes posible. Referencia TECH-047.,TECH,synthetic
"Hola, por favor ayúdenme. La señal de wifi se desconecta constantemente en toda la casa ¿Podrían indicarme qué debo hacer? Referencia TECH-035.",TECH,synthetic
"Hola, por favor ayúdenme. Me voy a mudar y deseo dar de baja todos los servicios contratados El problema continúa hasta este momento. Referencia CNCL-003.",CNCL,synthetic
Buenas tardes. ¿Cuál es el horario de atención de la oficina ubicada en el centro? Agradezco una respuesta lo antes posible. Referencia OTHR-032.,OTHR,synthetic
Estimado equipo de atención al cliente: El router no enciende después del último corte de energía ¿Podrían indicarme qué debo hacer? Referencia TECH-079.,TECH,synthetic
"Buenos días, necesito asistencia. Quiero cambiar mi plan actual por uno con mayor velocidad de internet El problema continúa hasta este momento. Referencia PLAN-032.",PLAN,synthetic
Buenas tardes. Necesito una explicación del valor total facturado en mi cuenta El problema continúa hasta este momento. Referencia BILL-051.,BILL,synthetic
Estimado equipo de atención al cliente: Quiero registrar un nuevo número telefónico para recibir notificaciones ¿Podrían indicarme qué debo hacer? Referencia OTHR-021.,OTHR,synthetic
"Hola, por favor ayúdenme. ¿Cuál es el horario de atención de la oficina ubicada en el centro? ¿Podrían indicarme qué debo hacer? Referencia OTHR-039.",OTHR,synthetic
"Buenos días, necesito asistencia. Necesito conocer los planes disponibles y sus beneficios mensuales El problema continúa hasta este momento. Referencia PLAN-059.",PLAN,synthetic
Estimado equipo de atención al cliente: Quisiera retirar la telefonía y mantener solamente el servicio de internet ¿Podrían indicarme qué debo hacer? Referencia PLAN-001.,PLAN,synthetic
"Buenos días, necesito asistencia. Mi conexión a internet está demasiado lenta y no puedo trabajar ¿Podrían indicarme qué debo hacer? Referencia TECH-049.",TECH,synthetic
Estimado equipo de atención al cliente: Deseo renovar mi plan y conocer las promociones vigentes para clientes Agradezco una respuesta lo antes posible. Referencia PLAN-053.,PLAN,synthetic
Buenas tardes. Necesito conocer los planes disponibles y sus beneficios mensuales Necesito resolverlo durante el día de hoy. Referencia PLAN-045.,PLAN,synthetic
Por favor revisen mi solicitud. Deseo conocer la dirección de la sucursal más cercana a mi domicilio Agradezco una respuesta lo antes posible. Referencia OTHR-059.,OTHR,synthetic
Buenas tardes. Necesito migrar mi contrato al nuevo plan de fibra óptica Necesito resolverlo durante el día de hoy. Referencia PLAN-014.,PLAN,synthetic
Por favor revisen mi solicitud. Necesito migrar mi contrato al nuevo plan de fibra óptica Agradezco una respuesta lo antes posible. Referencia PLAN-052.,PLAN,synthetic
Por favor revisen mi solicitud. Ya pagué la mensualidad pero todavía aparece como una deuda pendiente Quedo atento a su pronta respuesta. Referencia BILL-037.,BILL,synthetic
Por favor revisen mi solicitud. Necesito migrar mi contrato al nuevo plan de fibra óptica Quedo atento a su pronta respuesta. Referencia PLAN-072.,PLAN,synthetic
"Hola, por favor ayúdenme. Deseo conocer la dirección de la sucursal más cercana a mi domicilio ¿Podrían indicarme qué debo hacer? Referencia OTHR-056.",OTHR,synthetic
