tenure_months,monthly_charge,total_charges,contract_type,payment_method,num_tickets,avg_satisfaction,churn
8,41.99,340.06,one-year,card,2,4.9,0
38,42.44,1593.0,one-year,card,8,1.1,0
72,115.13,7888.49,month-to-month,cash,10,3.2,0
49,62.63,3074.41,one-year,card,10,2.3,1
57,111.3,6218.03,one-year,cash,10,3.8,0
25,52.36,1310.12,month-to-month,card,2,4.9,1
6,67.14,370.86,month-to-month,bank-transfer,8,2.1,1
20,24.39,481.81,one-year,cash,5,3.4,0
63,106.89,6584.53,one-year,bank-transfer,8,2.4,0
67,27.5,1713.74,month-to-month,bank-transfer,8,1.6,1
28,92.97,2546.81,month-to-month,cash,5,2.4,0
2,32.62,66.61,two-year,cash,5,2.8,1
6,95.08,549.06,one-year,card,5,2.5,0
37,22.72,814.59,month-to-month,cash,8,4.3,1
25,55.23,1351.27,month-to-month,cash,1,4.8,0
27,93.74,2385.74,month-to-month,card,3,4.5,0
56,91.12,5096.88,month-to-month,bank-transfer,1,4.0,1
10,25.97,264.95,one-year,card,4,3.2,0
58,89.32,5070.9,month-to-month,card,6,2.3,0
9,103.16,948.94,two-year,bank-transfer,9,1.2,1
39,86.72,3417.37,month-to-month,bank-transfer,4,4.1,1
21,78.68,1573.71,one-year,cash,2,4.0,0
39,94.5,3745.29,two-year,cash,10,2.5,1
6,20.55,117.57,month-to-month,card,9,2.6,0
45,43.29,1839.52,month-to-month,card,10,4.4,0
25,32.61,791.4,two-year,cash,10,4.2,0
38,93.89,3655.84,one-year,bank-transfer,4,1.4,0
31,31.0,931.76,month-to-month,bank-transfer,9,1.3,1
40,96.28,3949.22,month-to-month,bank-transfer,2,3.3,1
41,47.08,1954.24,one-year,bank-transfer,3,3.8,0
43,116.57,4915.69,one-year,bank-transfer,7,2.8,1
11,112.6,1260.27,month-to-month,cash,2,4.6,1
10,118.13,1139.44,one-year,cash,8,3.5,0
5,80.68,405.53,month-to-month,cash,8,4.6,1
29,118.06,3338.57,month-to-month,bank-transfer,9,3.9,1
47,75.24,3519.51,two-year,cash,10,2.0,0
18,69.08,1244.62,one-year,card,2,3.3,0
46,24.45,1040.02,month-to-month,card,7,1.9,1
47,62.69,2815.75,month-to-month,cash,7,4.5,0
67,89.69,5905.38,month-to-month,cash,4,4.3,0
49,60.18,2834.98,month-to-month,bank-transfer,10,4.6,0
67,64.64,3987.55,month-to-month,cash,5,2.9,0
57,38.22,2049.05,month-to-month,card,1,3.1,0
16,92.72,1475.03,one-year,bank-transfer,6,4.2,0
21,91.2,1886.78,month-to-month,cash,6,1.1,1
66,24.31,1567.29,month-to-month,card,9,1.6,0
3,116.64,339.22,two-year,card,10,4.3,0
62,38.76,2375.61,one-year,card,6,3.4,0
22,99.66,2072.54,one-year,card,5,4.7,0
14,21.82,308.81,month-to-month,bank-transfer,8,4.4,0
23,72.35,1623.06,two-year,cash,9,3.4,1
62,92.53,5687.61,month-to-month,cash,9,3.2,0
48,116.23,5617.26,two-year,bank-transfer,8,2.7,0
13,66.8,825.99,month-to-month,card,4,2.9,0
53,48.36,2505.36,one-year,cash,0,3.8,0
49,92.0,4470.46,month-to-month,bank-transfer,5,2.6,1
69,66.59,4608.71,two-year,bank-transfer,5,3.4,0
72,73.07,5174.45,month-to-month,bank-transfer,5,3.2,0
51,100.94,5273.64,month-to-month,cash,10,1.5,1
66,64.06,4218.43,one-year,cash,5,4.2,0
1,108.48,100.57,one-year,card,2,2.9,1
11,86.99,935.18,month-to-month,cash,6,4.7,0
8,124.03,1005.7,month-to-month,card,2,3.6,0
67,51.46,3259.86,month-to-month,cash,0,4.1,0
5,59.57,299.57,month-to-month,bank-transfer,10,1.0,1
51,64.6,3364.15,one-year,card,3,3.1,0
72,120.65,8571.27,one-year,card,5,2.4,0
52,83.24,4016.67,month-to-month,cash,4,1.7,1
15,108.32,1539.52,one-year,cash,4,4.5,0
49,81.95,3995.37,two-year,bank-transfer,3,4.0,0
4,73.02,290.46,one-year,card,4,1.3,1
41,65.37,2538.95,month-to-month,bank-transfer,5,3.1,1
44,28.36,1184.95,month-to-month,cash,2,2.9,0
25,74.89,1765.06,month-to-month,bank-transfer,3,1.9,1
32,112.0,3563.71,month-to-month,card,5,1.6,1
1,104.07,102.85,two-year,bank-transfer,8,4.8,0
36,73.99,2488.12,month-to-month,cash,8,2.1,1
55,72.62,4015.47,month-to-month,cash,8,1.1,1
16,96.81,1460.95,month-to-month,cash,7,2.3,1
42,59.78,2440.08,month-to-month,bank-transfer,4,1.7,0
47,40.23,1815.48,one-year,bank-transfer,6,1.8,0
58,39.79,2306.18,one-year,card,2,4.9,0
72,67.54,4553.85,one-year,cash,6,1.8,0
23,66.37,1494.05,two-year,cash,2,5.0,0
63,53.0,3325.51,month-to-month,card,8,4.4,1
33,72.42,2293.56,one-year,bank-transfer,10,1.4,0
33,57.86,1798.42,two-year,cash,6,1.5,0
69,39.2,2718.92,one-year,bank-transfer,4,2.4,0
11,61.92,674.62,two-year,card,4,2.9,0
54,89.44,4529.45,two-year,card,9,2.6,0
41,91.83,3787.27,month-to-month,bank-transfer,4,3.4,0
67,126.21,8456.53,two-year,card,6,1.7,0
11,43.16,465.42,month-to-month,bank-transfer,6,1.4,1
51,77.64,3928.09,one-year,card,1,1.4,0
40,45.23,1831.34,month-to-month,cash,4,2.8,1
46,114.64,5393.86,month-to-month,cash,5,4.5,0
18,126.65,2285.13,one-year,cash,8,1.7,0
56,77.58,4254.83,two-year,bank-transfer,10,3.1,0
57,53.87,3001.7,month-to-month,card,6,2.0,0
18,57.83,1066.09,one-year,bank-transfer,7,3.1,0
2,104.25,200.39,one-year,cash,4,3.4,0
72,68.08,4956.3,one-year,bank-transfer,3,1.7,0
